1	Escalera_Real	AS	K	Q	J	10	TRUE
1460	Dobles_Parejas	AS	AS	10	10	8	
1461	Dobles_Parejas	AS	AS	10	10	7	
1462	Dobles_Parejas	AS	AS	10	10	6	
1463	Dobles_Parejas	AS	AS	10	10	5	
1464	Dobles_Parejas	AS	AS	10	10	4	
1465	Dobles_Parejas	AS	AS	10	10	3	
1466	Dobles_Parejas	AS	AS	10	10	2	
1467	Dobles_Parejas	AS	AS	9	9	K	
1468	Dobles_Parejas	AS	AS	9	9	Q	
1469	Dobles_Parejas	AS	AS	9	9	J	
1470	Dobles_Parejas	AS	AS	9	9	10	
1471	Dobles_Parejas	AS	AS	9	9	8	
1472	Dobles_Parejas	AS	AS	9	9	7	
1473	Dobles_Parejas	AS	AS	9	9	6	
1474	Dobles_Parejas	AS	AS	9	9	5	
1475	Dobles_Parejas	AS	AS	9	9	4	
1476	Dobles_Parejas	AS	AS	9	9	3	
1477	Dobles_Parejas	AS	AS	9	9	2	
1478	Dobles_Parejas	AS	AS	8	8	K	
1479	Dobles_Parejas	AS	AS	8	8	Q	
1480	Dobles_Parejas	AS	AS	8	8	J	
1481	Dobles_Parejas	AS	AS	8	8	10	
1482	Dobles_Parejas	AS	AS	8	8	9	
1483	Dobles_Parejas	AS	AS	8	8	7	
1484	Dobles_Parejas	AS	AS	8	8	6	
1485	Dobles_Parejas	AS	AS	8	8	5	
1486	Dobles_Parejas	AS	AS	8	8	4	
1487	Dobles_Parejas	AS	AS	8	8	3	
1488	Dobles_Parejas	AS	AS	8	8	2	
1489	Dobles_Parejas	AS	AS	7	7	K	
1490	Dobles_Parejas	AS	AS	7	7	Q	
1491	Dobles_Parejas	AS	AS	7	7	J	
1492	Dobles_Parejas	AS	AS	7	7	10	
1493	Dobles_Parejas	AS	AS	7	7	9	
1494	Dobles_Parejas	AS	AS	7	7	8	
1495	Dobles_Parejas	AS	AS	7	7	6	
1496	Dobles_Parejas	AS	AS	7	7	5	
1497	Dobles_Parejas	AS	AS	7	7	4	
1498	Dobles_Parejas	AS	AS	7	7	3	
1499	Dobles_Parejas	AS	AS	7	7	2	
1500	Dobles_Parejas	AS	AS	6	6	K	
1501	Dobles_Parejas	AS	AS	6	6	Q	
1502	Dobles_Parejas	AS	AS	6	6	J	
1503	Dobles_Parejas	AS	AS	6	6	10	
1504	Dobles_Parejas	AS	AS	6	6	9	
1505	Dobles_Parejas	AS	AS	6	6	8	
1506	Dobles_Parejas	AS	AS	6	6	7	
1507	Dobles_Parejas	AS	AS	6	6	5	
1508	Dobles_Parejas	AS	AS	6	6	4	
1509	Dobles_Parejas	AS	AS	6	6	3	
1510	Dobles_Parejas	AS	AS	6	6	2	
1511	Dobles_Parejas	AS	AS	5	5	K	
1512	Dobles_Parejas	AS	AS	5	5	Q	
1513	Dobles_Parejas	AS	AS	5	5	J	
1514	Dobles_Parejas	AS	AS	5	5	10	
1515	Dobles_Parejas	AS	AS	5	5	9	
1516	Dobles_Parejas	AS	AS	5	5	8	
1517	Dobles_Parejas	AS	AS	5	5	7	
1518	Dobles_Parejas	AS	AS	5	5	6	
1519	Dobles_Parejas	AS	AS	5	5	4	
1520	Dobles_Parejas	AS	AS	5	5	3	
1521	Dobles_Parejas	AS	AS	5	5	2	
1522	Dobles_Parejas	AS	AS	4	4	K	
1523	Dobles_Parejas	AS	AS	4	4	Q	
1524	Dobles_Parejas	AS	AS	4	4	J	
1525	Dobles_Parejas	AS	AS	4	4	10	
1526	Dobles_Parejas	AS	AS	4	4	9	
1527	Dobles_Parejas	AS	AS	4	4	8	
1528	Dobles_Parejas	AS	AS	4	4	7	
1529	Dobles_Parejas	AS	AS	4	4	6	
1530	Dobles_Parejas	AS	AS	4	4	5	
1531	Dobles_Parejas	AS	AS	4	4	3	
1532	Dobles_Parejas	AS	AS	4	4	2	
1533	Dobles_Parejas	AS	AS	3	3	K	
1534	Dobles_Parejas	AS	AS	3	3	Q	
1535	Dobles_Parejas	AS	AS	3	3	J	
1536	Dobles_Parejas	AS	AS	3	3	10	
1537	Dobles_Parejas	AS	AS	3	3	9	
1538	Dobles_Parejas	AS	AS	3	3	8	
1539	Dobles_Parejas	AS	AS	3	3	7	
1540	Dobles_Parejas	AS	AS	3	3	6	
1541	Dobles_Parejas	AS	AS	3	3	5	
1542	Dobles_Parejas	AS	AS	3	3	4	
1543	Dobles_Parejas	AS	AS	3	3	2	
1544	Dobles_Parejas	AS	AS	2	2	K	
1545	Dobles_Parejas	AS	AS	2	2	Q	
1546	Dobles_Parejas	AS	AS	2	2	J	
1547	Dobles_Parejas	AS	AS	2	2	10	
1548	Dobles_Parejas	AS	AS	2	2	9	
1549	Dobles_Parejas	AS	AS	2	2	8	
1550	Dobles_Parejas	AS	AS	2	2	7	
1551	Dobles_Parejas	AS	AS	2	2	6	
1552	Dobles_Parejas	AS	AS	2	2	5	
1553	Dobles_Parejas	AS	AS	2	2	4	
1554	Dobles_Parejas	AS	AS	2	2	3	
1555	Dobles_Parejas	K	K	Q	Q	AS	
1556	Dobles_Parejas	K	K	Q	Q	J	
1557	Dobles_Parejas	K	K	Q	Q	10	
1558	Dobles_Parejas	K	K	Q	Q	9	
1559	Dobles_Parejas	K	K	Q	Q	8	
1560	Dobles_Parejas	K	K	Q	Q	7	
1561	Dobles_Parejas	K	K	Q	Q	6	
1562	Dobles_Parejas	K	K	Q	Q	5	
1563	Dobles_Parejas	K	K	Q	Q	4	
1564	Dobles_Parejas	K	K	Q	Q	3	
1565	Dobles_Parejas	K	K	Q	Q	2	
1566	Dobles_Parejas	K	K	J	J	AS	
1567	Dobles_Parejas	K	K	J	J	Q	
1568	Dobles_Parejas	K	K	J	J	10	
1569	Dobles_Parejas	K	K	J	J	9	
1570	Dobles_Parejas	K	K	J	J	8	
1571	Dobles_Parejas	K	K	J	J	7	
1572	Dobles_Parejas	K	K	J	J	6	
1573	Dobles_Parejas	K	K	J	J	5	
1574	Dobles_Parejas	K	K	J	J	4	
1575	Dobles_Parejas	K	K	J	J	3	
1576	Dobles_Parejas	K	K	J	J	2	
1577	Dobles_Parejas	K	K	10	10	AS	
1578	Dobles_Parejas	K	K	10	10	Q	
1579	Dobles_Parejas	K	K	10	10	J	
1580	Dobles_Parejas	K	K	10	10	9	
1581	Dobles_Parejas	K	K	10	10	8	
1582	Dobles_Parejas	K	K	10	10	7	
1583	Dobles_Parejas	K	K	10	10	6	
1584	Dobles_Parejas	K	K	10	10	5	
1585	Dobles_Parejas	K	K	10	10	4	
1586	Dobles_Parejas	K	K	10	10	3	
1587	Dobles_Parejas	K	K	10	10	2	
1588	Dobles_Parejas	K	K	9	9	AS	
1589	Dobles_Parejas	K	K	9	9	Q	
1590	Dobles_Parejas	K	K	9	9	J	
1591	Dobles_Parejas	K	K	9	9	10	
1592	Dobles_Parejas	K	K	9	9	8	
1593	Dobles_Parejas	K	K	9	9	7	
1594	Dobles_Parejas	K	K	9	9	6	
1595	Dobles_Parejas	K	K	9	9	5	
1596	Dobles_Parejas	K	K	9	9	4	
1597	Dobles_Parejas	K	K	9	9	3	
1598	Dobles_Parejas	K	K	9	9	2	
1599	Dobles_Parejas	K	K	8	8	AS	
1600	Dobles_Parejas	K	K	8	8	Q	
1601	Dobles_Parejas	K	K	8	8	J	
1602	Dobles_Parejas	K	K	8	8	10	
1603	Dobles_Parejas	K	K	8	8	9	
1604	Dobles_Parejas	K	K	8	8	7	
1605	Dobles_Parejas	K	K	8	8	6	
1606	Dobles_Parejas	K	K	8	8	5	
1607	Dobles_Parejas	K	K	8	8	4	
1608	Dobles_Parejas	K	K	8	8	3	
1609	Dobles_Parejas	K	K	8	8	2	
1610	Dobles_Parejas	K	K	7	7	AS	
1611	Dobles_Parejas	K	K	7	7	Q	
1612	Dobles_Parejas	K	K	7	7	J	
1613	Dobles_Parejas	K	K	7	7	10	
1614	Dobles_Parejas	K	K	7	7	9	
1615	Dobles_Parejas	K	K	7	7	8	
1616	Dobles_Parejas	K	K	7	7	6	
1617	Dobles_Parejas	K	K	7	7	5	
1618	Dobles_Parejas	K	K	7	7	4	
1619	Dobles_Parejas	K	K	7	7	3	
1620	Dobles_Parejas	K	K	7	7	2	
1621	Dobles_Parejas	K	K	6	6	AS	
1622	Dobles_Parejas	K	K	6	6	Q	
1623	Dobles_Parejas	K	K	6	6	J	
1624	Dobles_Parejas	K	K	6	6	10	
1625	Dobles_Parejas	K	K	6	6	9	
1626	Dobles_Parejas	K	K	6	6	8	
1627	Dobles_Parejas	K	K	6	6	7	
1628	Dobles_Parejas	K	K	6	6	5	
1629	Dobles_Parejas	K	K	6	6	4	
1630	Dobles_Parejas	K	K	6	6	3	
1631	Dobles_Parejas	K	K	6	6	2	
1632	Dobles_Parejas	K	K	5	5	AS	
1633	Dobles_Parejas	K	K	5	5	Q	
1634	Dobles_Parejas	K	K	5	5	J	
1635	Dobles_Parejas	K	K	5	5	10	
1636	Dobles_Parejas	K	K	5	5	9	
1637	Dobles_Parejas	K	K	5	5	8	
1638	Dobles_Parejas	K	K	5	5	7	
1639	Dobles_Parejas	K	K	5	5	6	
1640	Dobles_Parejas	K	K	5	5	4	
1641	Dobles_Parejas	K	K	5	5	3	
1642	Dobles_Parejas	K	K	5	5	2	
1643	Dobles_Parejas	K	K	4	4	AS	
1644	Dobles_Parejas	K	K	4	4	Q	
1645	Dobles_Parejas	K	K	4	4	J	
1646	Dobles_Parejas	K	K	4	4	10	
1647	Dobles_Parejas	K	K	4	4	9	
1648	Dobles_Parejas	K	K	4	4	8	
1649	Dobles_Parejas	K	K	4	4	7	
1650	Dobles_Parejas	K	K	4	4	6	
1651	Dobles_Parejas	K	K	4	4	5	
1652	Dobles_Parejas	K	K	4	4	3	
1653	Dobles_Parejas	K	K	4	4	2	
1654	Dobles_Parejas	K	K	3	3	AS	
1655	Dobles_Parejas	K	K	3	3	Q	
1656	Dobles_Parejas	K	K	3	3	J	
1657	Dobles_Parejas	K	K	3	3	10	
1658	Dobles_Parejas	K	K	3	3	9	
1659	Dobles_Parejas	K	K	3	3	8	
1660	Dobles_Parejas	K	K	3	3	7	
1661	Dobles_Parejas	K	K	3	3	6	
1662	Dobles_Parejas	K	K	3	3	5	
1663	Dobles_Parejas	K	K	3	3	4	
1664	Dobles_Parejas	K	K	3	3	2	
1665	Dobles_Parejas	K	K	2	2	AS	
1666	Dobles_Parejas	K	K	2	2	Q	
1667	Dobles_Parejas	K	K	2	2	J	
1668	Dobles_Parejas	K	K	2	2	10	
1669	Dobles_Parejas	K	K	2	2	9	
1670	Dobles_Parejas	K	K	2	2	8	
1671	Dobles_Parejas	K	K	2	2	7	
1672	Dobles_Parejas	K	K	2	2	6	
1673	Dobles_Parejas	K	K	2	2	5	
1674	Dobles_Parejas	K	K	2	2	4	
1675	Dobles_Parejas	K	K	2	2	3	
1676	Dobles_Parejas	Q	Q	J	J	AS	
1677	Dobles_Parejas	Q	Q	J	J	K	
1678	Dobles_Parejas	Q	Q	J	J	10	
1679	Dobles_Parejas	Q	Q	J	J	9	
1680	Dobles_Parejas	Q	Q	J	J	8	
1681	Dobles_Parejas	Q	Q	J	J	7	
1682	Dobles_Parejas	Q	Q	J	J	6	
1683	Dobles_Parejas	Q	Q	J	J	5	
1684	Dobles_Parejas	Q	Q	J	J	4	
1685	Dobles_Parejas	Q	Q	J	J	3	
1686	Dobles_Parejas	Q	Q	J	J	2	
1687	Dobles_Parejas	Q	Q	10	10	AS	
1688	Dobles_Parejas	Q	Q	10	10	K	
1689	Dobles_Parejas	Q	Q	10	10	J	
1690	Dobles_Parejas	Q	Q	10	10	9	
1691	Dobles_Parejas	Q	Q	10	10	8	
1692	Dobles_Parejas	Q	Q	10	10	7	
1693	Dobles_Parejas	Q	Q	10	10	6	
1694	Dobles_Parejas	Q	Q	10	10	5	
1695	Dobles_Parejas	Q	Q	10	10	4	
1696	Dobles_Parejas	Q	Q	10	10	3	
1697	Dobles_Parejas	Q	Q	10	10	2	
1698	Dobles_Parejas	Q	Q	9	9	AS	
1699	Dobles_Parejas	Q	Q	9	9	K	
1700	Dobles_Parejas	Q	Q	9	9	J	
1701	Dobles_Parejas	Q	Q	9	9	10	
1702	Dobles_Parejas	Q	Q	9	9	8	
1703	Dobles_Parejas	Q	Q	9	9	7	
1704	Dobles_Parejas	Q	Q	9	9	6	
1705	Dobles_Parejas	Q	Q	9	9	5	
1706	Dobles_Parejas	Q	Q	9	9	4	
1707	Dobles_Parejas	Q	Q	9	9	3	
1708	Dobles_Parejas	Q	Q	9	9	2	
1709	Dobles_Parejas	Q	Q	8	8	AS	
1710	Dobles_Parejas	Q	Q	8	8	K	
1711	Dobles_Parejas	Q	Q	8	8	J	
1712	Dobles_Parejas	Q	Q	8	8	10	
1713	Dobles_Parejas	Q	Q	8	8	9	
1714	Dobles_Parejas	Q	Q	8	8	7	
1715	Dobles_Parejas	Q	Q	8	8	6	
1716	Dobles_Parejas	Q	Q	8	8	5	
1717	Dobles_Parejas	Q	Q	8	8	4	
1718	Dobles_Parejas	Q	Q	8	8	3	
1719	Dobles_Parejas	Q	Q	8	8	2	
1720	Dobles_Parejas	Q	Q	7	7	AS	
1721	Dobles_Parejas	Q	Q	7	7	K	
1722	Dobles_Parejas	Q	Q	7	7	J	
1723	Dobles_Parejas	Q	Q	7	7	10	
1724	Dobles_Parejas	Q	Q	7	7	9	
1725	Dobles_Parejas	Q	Q	7	7	8	
1726	Dobles_Parejas	Q	Q	7	7	6	
1727	Dobles_Parejas	Q	Q	7	7	5	
1728	Dobles_Parejas	Q	Q	7	7	4	
1729	Dobles_Parejas	Q	Q	7	7	3	
1730	Dobles_Parejas	Q	Q	7	7	2	
1731	Dobles_Parejas	Q	Q	6	6	AS	
1732	Dobles_Parejas	Q	Q	6	6	K	
1733	Dobles_Parejas	Q	Q	6	6	J	
1734	Dobles_Parejas	Q	Q	6	6	10	
1735	Dobles_Parejas	Q	Q	6	6	9	
1736	Dobles_Parejas	Q	Q	6	6	8	
1737	Dobles_Parejas	Q	Q	6	6	7	
1738	Dobles_Parejas	Q	Q	6	6	5	
1739	Dobles_Parejas	Q	Q	6	6	4	
1740	Dobles_Parejas	Q	Q	6	6	3	
1741	Dobles_Parejas	Q	Q	6	6	2	
1742	Dobles_Parejas	Q	Q	5	5	AS	
1743	Dobles_Parejas	Q	Q	5	5	K	
1744	Dobles_Parejas	Q	Q	5	5	J	
1745	Dobles_Parejas	Q	Q	5	5	10	
1746	Dobles_Parejas	Q	Q	5	5	9	
1747	Dobles_Parejas	Q	Q	5	5	8	
1748	Dobles_Parejas	Q	Q	5	5	7	
1749	Dobles_Parejas	Q	Q	5	5	6	
1750	Dobles_Parejas	Q	Q	5	5	4	
1751	Dobles_Parejas	Q	Q	5	5	3	
1752	Dobles_Parejas	Q	Q	5	5	2	
1753	Dobles_Parejas	Q	Q	4	4	AS	
1754	Dobles_Parejas	Q	Q	4	4	K	
1755	Dobles_Parejas	Q	Q	4	4	J	
1756	Dobles_Parejas	Q	Q	4	4	10	
1757	Dobles_Parejas	Q	Q	4	4	9	
1758	Dobles_Parejas	Q	Q	4	4	8	
1759	Dobles_Parejas	Q	Q	4	4	7	
1760	Dobles_Parejas	Q	Q	4	4	6	
1761	Dobles_Parejas	Q	Q	4	4	5	
1762	Dobles_Parejas	Q	Q	4	4	3	
1763	Dobles_Parejas	Q	Q	4	4	2	
1764	Dobles_Parejas	Q	Q	3	3	AS	
1765	Dobles_Parejas	Q	Q	3	3	K	
1766	Dobles_Parejas	Q	Q	3	3	J	
1767	Dobles_Parejas	Q	Q	3	3	10	
1768	Dobles_Parejas	Q	Q	3	3	9	
1769	Dobles_Parejas	Q	Q	3	3	8	
1770	Dobles_Parejas	Q	Q	3	3	7	
1771	Dobles_Parejas	Q	Q	3	3	6	
1772	Dobles_Parejas	Q	Q	3	3	5	
1773	Dobles_Parejas	Q	Q	3	3	4	
1774	Dobles_Parejas	Q	Q	3	3	2	
1775	Dobles_Parejas	Q	Q	2	2	AS	
1776	Dobles_Parejas	Q	Q	2	2	K	
1777	Dobles_Parejas	Q	Q	2	2	J	
1778	Dobles_Parejas	Q	Q	2	2	10	
1779	Dobles_Parejas	Q	Q	2	2	9	
1780	Dobles_Parejas	Q	Q	2	2	8	
1781	Dobles_Parejas	Q	Q	2	2	7	
1782	Dobles_Parejas	Q	Q	2	2	6	
1783	Dobles_Parejas	Q	Q	2	2	5	
1784	Dobles_Parejas	Q	Q	2	2	4	
1785	Dobles_Parejas	Q	Q	2	2	3	
1786	Dobles_Parejas	J	J	10	10	AS	
1787	Dobles_Parejas	J	J	10	10	K	
1788	Dobles_Parejas	J	J	10	10	Q	
1789	Dobles_Parejas	J	J	10	10	9	
1790	Dobles_Parejas	J	J	10	10	8	
1791	Dobles_Parejas	J	J	10	10	7	
1792	Dobles_Parejas	J	J	10	10	6	
1793	Dobles_Parejas	J	J	10	10	5	
1794	Dobles_Parejas	J	J	10	10	4	
1795	Dobles_Parejas	J	J	10	10	3	
1796	Dobles_Parejas	J	J	10	10	2	
1797	Dobles_Parejas	J	J	9	9	AS	
1798	Dobles_Parejas	J	J	9	9	K	
1799	Dobles_Parejas	J	J	9	9	Q	
1800	Dobles_Parejas	J	J	9	9	10	
1801	Dobles_Parejas	J	J	9	9	8	
1802	Dobles_Parejas	J	J	9	9	7	
1803	Dobles_Parejas	J	J	9	9	6	
1804	Dobles_Parejas	J	J	9	9	5	
1805	Dobles_Parejas	J	J	9	9	4	
1806	Dobles_Parejas	J	J	9	9	3	
1807	Dobles_Parejas	J	J	9	9	2	
1808	Dobles_Parejas	J	J	8	8	AS	
1809	Dobles_Parejas	J	J	8	8	K	
1810	Dobles_Parejas	J	J	8	8	Q	
1811	Dobles_Parejas	J	J	8	8	10	
1812	Dobles_Parejas	J	J	8	8	9	
1813	Dobles_Parejas	J	J	8	8	7	
1814	Dobles_Parejas	J	J	8	8	6	
1815	Dobles_Parejas	J	J	8	8	5	
1816	Dobles_Parejas	J	J	8	8	4	
1817	Dobles_Parejas	J	J	8	8	3	
1818	Dobles_Parejas	J	J	8	8	2	
1819	Dobles_Parejas	J	J	7	7	AS	
1820	Dobles_Parejas	J	J	7	7	K	
1821	Dobles_Parejas	J	J	7	7	Q	
1822	Dobles_Parejas	J	J	7	7	10	
1823	Dobles_Parejas	J	J	7	7	9	
1824	Dobles_Parejas	J	J	7	7	8	
1825	Dobles_Parejas	J	J	7	7	6	
1826	Dobles_Parejas	J	J	7	7	5	
1827	Dobles_Parejas	J	J	7	7	4	
1828	Dobles_Parejas	J	J	7	7	3	
1829	Dobles_Parejas	J	J	7	7	2	
1830	Dobles_Parejas	J	J	6	6	AS	
1831	Dobles_Parejas	J	J	6	6	K	
1832	Dobles_Parejas	J	J	6	6	Q	
1833	Dobles_Parejas	J	J	6	6	10	
1834	Dobles_Parejas	J	J	6	6	9	
1835	Dobles_Parejas	J	J	6	6	8	
1836	Dobles_Parejas	J	J	6	6	7	
1837	Dobles_Parejas	J	J	6	6	5	
1838	Dobles_Parejas	J	J	6	6	4	
1839	Dobles_Parejas	J	J	6	6	3	
1840	Dobles_Parejas	J	J	6	6	2	
1841	Dobles_Parejas	J	J	5	5	AS	
1842	Dobles_Parejas	J	J	5	5	K	
1843	Dobles_Parejas	J	J	5	5	Q	
1844	Dobles_Parejas	J	J	5	5	10	
1845	Dobles_Parejas	J	J	5	5	9	
1846	Dobles_Parejas	J	J	5	5	8	
1847	Dobles_Parejas	J	J	5	5	7	
1848	Dobles_Parejas	J	J	5	5	6	
1849	Dobles_Parejas	J	J	5	5	4	
1850	Dobles_Parejas	J	J	5	5	3	
1851	Dobles_Parejas	J	J	5	5	2	
1852	Dobles_Parejas	J	J	4	4	AS	
1853	Dobles_Parejas	J	J	4	4	K	
1854	Dobles_Parejas	J	J	4	4	Q	
1855	Dobles_Parejas	J	J	4	4	10	
1856	Dobles_Parejas	J	J	4	4	9	
1857	Dobles_Parejas	J	J	4	4	8	
1858	Dobles_Parejas	J	J	4	4	7	
1859	Dobles_Parejas	J	J	4	4	6	
1860	Dobles_Parejas	J	J	4	4	5	
1861	Dobles_Parejas	J	J	4	4	3	
1862	Dobles_Parejas	J	J	4	4	2	
1863	Dobles_Parejas	J	J	3	3	AS	
1864	Dobles_Parejas	J	J	3	3	K	
1865	Dobles_Parejas	J	J	3	3	Q	
1866	Dobles_Parejas	J	J	3	3	10	
1867	Dobles_Parejas	J	J	3	3	9	
1868	Dobles_Parejas	J	J	3	3	8	
1869	Dobles_Parejas	J	J	3	3	7	
1870	Dobles_Parejas	J	J	3	3	6	
1871	Dobles_Parejas	J	J	3	3	5	
1872	Dobles_Parejas	J	J	3	3	4	
1873	Dobles_Parejas	J	J	3	3	2	
1874	Dobles_Parejas	J	J	2	2	AS	
1875	Dobles_Parejas	J	J	2	2	K	
1876	Dobles_Parejas	J	J	2	2	Q	
1877	Dobles_Parejas	J	J	2	2	10	
1878	Dobles_Parejas	J	J	2	2	9	
1879	Dobles_Parejas	J	J	2	2	8	
1880	Dobles_Parejas	J	J	2	2	7	
1881	Dobles_Parejas	J	J	2	2	6	
1882	Dobles_Parejas	J	J	2	2	5	
1883	Dobles_Parejas	J	J	2	2	4	
1884	Dobles_Parejas	J	J	2	2	3	
1885	Dobles_Parejas	10	10	9	9	AS	
1886	Dobles_Parejas	10	10	9	9	K	
1887	Dobles_Parejas	10	10	9	9	Q	
1888	Dobles_Parejas	10	10	9	9	J	
1889	Dobles_Parejas	10	10	9	9	8	
1890	Dobles_Parejas	10	10	9	9	7	
1891	Dobles_Parejas	10	10	9	9	6	
1892	Dobles_Parejas	10	10	9	9	5	
1893	Dobles_Parejas	10	10	9	9	4	
1894	Dobles_Parejas	10	10	9	9	3	
1895	Dobles_Parejas	10	10	9	9	2	
1896	Dobles_Parejas	10	10	8	8	AS	
1897	Dobles_Parejas	10	10	8	8	K	
1898	Dobles_Parejas	10	10	8	8	Q	
1899	Dobles_Parejas	10	10	8	8	J	
1900	Dobles_Parejas	10	10	8	8	9	
1901	Dobles_Parejas	10	10	8	8	7	
1902	Dobles_Parejas	10	10	8	8	6	
1903	Dobles_Parejas	10	10	8	8	5	
1904	Dobles_Parejas	10	10	8	8	4	
1905	Dobles_Parejas	10	10	8	8	3	
1906	Dobles_Parejas	10	10	8	8	2	
1907	Dobles_Parejas	10	10	7	7	AS	
1908	Dobles_Parejas	10	10	7	7	K	
1909	Dobles_Parejas	10	10	7	7	Q	
1910	Dobles_Parejas	10	10	7	7	J	
1911	Dobles_Parejas	10	10	7	7	9	
1912	Dobles_Parejas	10	10	7	7	8	
1913	Dobles_Parejas	10	10	7	7	6	
1914	Dobles_Parejas	10	10	7	7	5	
1915	Dobles_Parejas	10	10	7	7	4	
1916	Dobles_Parejas	10	10	7	7	3	
1917	Dobles_Parejas	10	10	7	7	2	
1918	Dobles_Parejas	10	10	6	6	AS	
1919	Dobles_Parejas	10	10	6	6	K	
1920	Dobles_Parejas	10	10	6	6	Q	
1921	Dobles_Parejas	10	10	6	6	J	
1922	Dobles_Parejas	10	10	6	6	9	
1923	Dobles_Parejas	10	10	6	6	8	
1924	Dobles_Parejas	10	10	6	6	7	
1925	Dobles_Parejas	10	10	6	6	5	
1926	Dobles_Parejas	10	10	6	6	4	
1927	Dobles_Parejas	10	10	6	6	3	
1928	Dobles_Parejas	10	10	6	6	2	
1929	Dobles_Parejas	10	10	5	5	AS	
1930	Dobles_Parejas	10	10	5	5	K	
1931	Dobles_Parejas	10	10	5	5	Q	
1932	Dobles_Parejas	10	10	5	5	J	
1933	Dobles_Parejas	10	10	5	5	9	
1934	Dobles_Parejas	10	10	5	5	8	
1935	Dobles_Parejas	10	10	5	5	7	
1936	Dobles_Parejas	10	10	5	5	6	
1937	Dobles_Parejas	10	10	5	5	4	
1938	Dobles_Parejas	10	10	5	5	3	
1939	Dobles_Parejas	10	10	5	5	2	
1940	Dobles_Parejas	10	10	4	4	AS	
1941	Dobles_Parejas	10	10	4	4	K	
1942	Dobles_Parejas	10	10	4	4	Q	
1943	Dobles_Parejas	10	10	4	4	J	
1944	Dobles_Parejas	10	10	4	4	9	
1945	Dobles_Parejas	10	10	4	4	8	
1946	Dobles_Parejas	10	10	4	4	7	
1947	Dobles_Parejas	10	10	4	4	6	
1948	Dobles_Parejas	10	10	4	4	5	
1949	Dobles_Parejas	10	10	4	4	3	
1950	Dobles_Parejas	10	10	4	4	2	
1951	Dobles_Parejas	10	10	3	3	AS	
1952	Dobles_Parejas	10	10	3	3	K	
1953	Dobles_Parejas	10	10	3	3	Q	
1954	Dobles_Parejas	10	10	3	3	J	
1955	Dobles_Parejas	10	10	3	3	9	
1956	Dobles_Parejas	10	10	3	3	8	
1957	Dobles_Parejas	10	10	3	3	7	
1958	Dobles_Parejas	10	10	3	3	6	
1959	Dobles_Parejas	10	10	3	3	5	
1960	Dobles_Parejas	10	10	3	3	4	
1961	Dobles_Parejas	10	10	3	3	2	
1962	Dobles_Parejas	10	10	2	2	AS	
1963	Dobles_Parejas	10	10	2	2	K	
1964	Dobles_Parejas	10	10	2	2	Q	
1965	Dobles_Parejas	10	10	2	2	J	
1966	Dobles_Parejas	10	10	2	2	9	
1967	Dobles_Parejas	10	10	2	2	8	
1968	Dobles_Parejas	10	10	2	2	7	
1969	Dobles_Parejas	10	10	2	2	6	
1970	Dobles_Parejas	10	10	2	2	5	
1971	Dobles_Parejas	10	10	2	2	4	
1972	Dobles_Parejas	10	10	2	2	3	
1973	Dobles_Parejas	9	9	8	8	AS	
1974	Dobles_Parejas	9	9	8	8	K	
1975	Dobles_Parejas	9	9	8	8	Q	
1976	Dobles_Parejas	9	9	8	8	J	
1977	Dobles_Parejas	9	9	8	8	10	
1978	Dobles_Parejas	9	9	8	8	7	
1979	Dobles_Parejas	9	9	8	8	6	
1980	Dobles_Parejas	9	9	8	8	5	
1981	Dobles_Parejas	9	9	8	8	4	
1982	Dobles_Parejas	9	9	8	8	3	
1983	Dobles_Parejas	9	9	8	8	2	
1984	Dobles_Parejas	9	9	7	7	AS	
1985	Dobles_Parejas	9	9	7	7	K	
1986	Dobles_Parejas	9	9	7	7	Q	
1987	Dobles_Parejas	9	9	7	7	J	
1988	Dobles_Parejas	9	9	7	7	10	
1989	Dobles_Parejas	9	9	7	7	8	
1990	Dobles_Parejas	9	9	7	7	6	
1991	Dobles_Parejas	9	9	7	7	5	
1992	Dobles_Parejas	9	9	7	7	4	
1993	Dobles_Parejas	9	9	7	7	3	
1994	Dobles_Parejas	9	9	7	7	2	
1995	Dobles_Parejas	9	9	6	6	AS	
1996	Dobles_Parejas	9	9	6	6	K	
1997	Dobles_Parejas	9	9	6	6	Q	
1998	Dobles_Parejas	9	9	6	6	J	
1999	Dobles_Parejas	9	9	6	6	10	
2000	Dobles_Parejas	9	9	6	6	8	
2001	Dobles_Parejas	9	9	6	6	7	
2002	Dobles_Parejas	9	9	6	6	5	
2003	Dobles_Parejas	9	9	6	6	4	
2004	Dobles_Parejas	9	9	6	6	3	
2005	Dobles_Parejas	9	9	6	6	2	
2006	Dobles_Parejas	9	9	5	5	AS	
2007	Dobles_Parejas	9	9	5	5	K	
2008	Dobles_Parejas	9	9	5	5	Q	
2009	Dobles_Parejas	9	9	5	5	J	
2010	Dobles_Parejas	9	9	5	5	10	
2011	Dobles_Parejas	9	9	5	5	8	
2012	Dobles_Parejas	9	9	5	5	7	
2013	Dobles_Parejas	9	9	5	5	6	
2014	Dobles_Parejas	9	9	5	5	4	
2015	Dobles_Parejas	9	9	5	5	3	
2016	Dobles_Parejas	9	9	5	5	2	
2017	Dobles_Parejas	9	9	4	4	AS	
2018	Dobles_Parejas	9	9	4	4	K	
2019	Dobles_Parejas	9	9	4	4	Q	
